CPSC	recall_number	remedy	sold_to	name_of_product	description	manufacturer	sold_exclusively_at	manufactured_in	incidents_injuries	hazard	importer	consumer_contact	units
CPSC	05233	Consumers should stop using these chairs immediately, and contact Idea Nuova for instructions on how to receive a free repair kit to replace the locking pin.	null	null	The recalled children's folding chairs are made of metal tubing with a vinyl padded seat and seat back. They were sold with the following designs: &quot;Monkey Moods&quot; a monkey with stars, &quot;Rock n Roll&quot; with a monkey playing a guitar, &quot;Princess&quot; with pink flowers and a crown, &quot;Sport&quot; with a football, basketball and soccer ball, &quot;Training Camp&quot; with frogs, &quot;Rainbow Angel&quot; with clouds, rainbows and stars, Spiderman&reg;, and Disney&reg; Princess. The recalled chairs were sold as part of a set consisting of a table and two chairs. Each chair is about 22-inches high, 13 inches wide, and about 11 inches deep. &quot;Idea Nuova Inc.&quot; or &quot;I.N.I.&quot; is printed on a label located underneath the seat of the chairs.	Idea Nuova Inc., of New York, N.Y.	null	China	CPSC and Idea Nuova are aware of five incidents involving children. In one incident, there was a finger tip amputation, the second incident involved a finger tip amputation and a laceration, and the third incident involved a finger fracture and a laceration. There were no injuries reported in the other two incidents.	The chair's safety lock can fail, allowing the chair to collapse or fold unexpectedly. Children's fingers can become caught or entrapped in the hinge and slot areas of the chair, posing a pinch or cut hazard. This can cause severe lacerations and finger tip amputations to children's fingers.	null	null	About 1.1 million
CPSC	05234	Consumers should stop using the chairs immediately, and contact Fourstar for instructions on how to receive a free repair kit to replace the locking pin.	null	null	The recalled kid's folding chairs are made of metal tubing with a vinyl padded seat and seat back. They were sold in red, blue, yellow, green, pink, and lavender solid colors. They also come in pink with &quot;Princess&quot; printed in red on the seat and seat back along with stars, crowns and hearts, or in blue with pictures of basketballs, soccer balls, footballs, football helmets, and rollerblades. The recalled chairs were sold individually or as part of a set consisting of a table and two chairs. Each chair is about 22-inches high, 13.5-inches wide, and about 11.5-inches deep. &quot;MANUFACTURED BY FOURSTAR GROUP INC.&quot; OR &quot;IMPORTED BY FOURSTAR INTERNATIONAL TRADING COMPANY&quot; is written on a label located underneath the seat of the chairs.	null	null	China.	CPSC and Fourstar Group are aware of three incidents involving children. One resulted in a laceration to the finger and three finger fractures, the second incident resulted in a fracture and laceration to the fingers, and the third incident resulted in a pinched finger.	The chair's safety lock can fail, allowing the chair to collapse or fold unexpectedly. Children's fingers can become caught or entrapped in the hinge and slot areas of the chair, posing a pinch or cut hazard. This can cause severe lacerations and finger tip amputations to children's fingers.	null	null	About 522,000
CPSC	05230	Consumers should immediately take these recalled Walker Wagons away from young children and contact Radio Flyer for free replacement clickers.	null	null	The recalled wooden Walker Wagon has a push handle and removable wooden stake sides. It is 22-inches long, 12-inches wide and 16 &frac12;-inches high at the top of the handle. The Walker Wagon body is red and has the name “Radio Flyer” in white lettering on each side. The recalled Walker Wagons have black plastic clickers that make a clicking sound when the plastic wheels turn. The clickers are located between the rear wheels and the wagon. The Walker Wagon is intended for children 1 to 4 years old. The Walker Wagons with clear plastic clickers are not included in this recall.	null	null	China	Radio Flyer has received 11 reports of the tips breaking off the clickers on these Walker Wagons. No injuries have been reported.	The	Radio Flyer Inc. of Chicago, Ill.	null	About
CPSC	05231	Take these jackets away from young children immediately, and return the jacket to any H&amp;M store for a full refund.	null	null	These jackets are light blue denim with two breast pockets, a gray knit hood and gray knit sleeves. The buttons have “BABY” written on the front. A red and white “A” patch is sewn on the front, a blue “3” decal is on one sleeve and a red football is on the other sleeve. The recall included jackets sold in sizes 2 months through 18 months. Style number “432740” is written on the laundry care tag inside the jacket. “H&amp;M” is written on the collar label.	H&amp;M	null	China.	H&amp;M has received one report of the metal buttons detaching. No injuries have been reported.	The metal buttons can come loose and detach from these garments, posing a choking hazard to young children.	null	null	About
CPSC	05589	Fire Extinguisher Distributors and Service Organizations must immediately stop servicing all units covered under this Alert. Kidde has instituted a Fire Extinguisher Replacement Program (“Replacement Program”) for all units covered by this Alert. If you are a Fire Extinguisher Distributor or Service Organization and you have not already received a copy of the Replacement Program, as outlined in Service Bulletin 007, please contact the number below. Only professional Fire Extinguisher Distributors and Service Organizations should remove the affected units and the steps as outlined in the Replacement Program must be followed.	null	null	This Alert involves all Kidde 10 lb. dry chemical fire extinguishers manufactured with a black plastic Zytel&reg; nylon valve assembly and a steel cylinder between 1991 and 2000. These units were the subject of Kidde Service Bulletin 007 issued on July 21, 2004. These units were designed for commercial and industrial applications, and the majority of these units were placed into service in factories, plants, businesses and other commercial locations as they require service by a qualified Fire Extinguisher Distributor or Service Organization every 6 years. Some of these units are in use in residential settings. The affected extinguishers have a steel cylinder with a welded neck ring and are between 19 to 21 inches tall as depicted in the image below. This Alert does not apply to Kidde’s smaller 2 1/2 and 5 lb. residential fire extinguishers.	Walter Kidde Portable Equipment Inc., of Mebane, N.C.	null	United States.	Kidde has received five reports of valve separation during either technical service of the units or shortly afterwards, resulting in three reports of injuries.	The nylon valves on these extinguishers can separate from the steel cylinder during the 6-year recharge service or shortly afterwards creating a safety hazard to fire extinguisher service personnel and consumers.	null	null	About 470,000
CPSC	05229	Consumers should stop using the bicycle aero bars immediately and contact VisionTech USA, Inc. to have their aero bars tested. A free replacement will be provided for any bicycle aero bars found defective.&nbsp;	null	null	Aero bars are handlebar extensions typically used on racing and triathlon bicycles that either clip on to the handlebars or are sold as an integrated handlebar and stem system. The aero bars allow riders to ride in an aerodynamic crouching position. The recalled aero bars are an integrated system which have a casted aluminum centerpiece which are attached to a handlebar, a stem and two aero bars each approximately 15 inches long, protruding in front of the handlebar. The VisionTech logo is displayed in gold lettering against a black background on the wings of the bar.	VisionTech USA, Inc., of Auburn, Wash.	null	USA	VisionTech has received two reports of the centerpiece of these aero bars breaking, resulting in minor scrapes and abrasions.	The centerpiece of these bicycle aero bars can crack or break, causing the bicycle rider to lose control and crash.&nbsp;	null	null	About 280&nbsp;&nbsp;
CPSC	05227	Consumers should immediately stop using these torches and return them to any Wal-Mart store for a refund.	null	null	The recalled Tiki&reg; Cone Metal Torch is a 6-foot long, outdoor, open-flame lamp consisting of a black metal pole topped by a copper-colored, cone-shaped metal head. A black decorative rod spirals around the head of the torch. The torch head includes the fuel reservoir, cover and wick. It was sold under Lamplight Farms model numbers 1263 and 126301 and Wal-Mart item numbers 1656121 and 1691366. Both items were sold with the same UPC number 086861012635, which is located on the bottom of the printed hangtag.	Lamplight Farms Inc., a Division of W.C. Bradley Company, of Menomonee Falls, Wis.	null	China	Lamplight Farms has received one report that a torch head fell off the torch pole when bumped and spilled torch fuel. The spilled fuel was ignited by the burning wick, resulting in second and third degree burns to a consumer.	The head and cover of these torches can come loose or be dislodged during use, allowing torch fuel to spill. This poses a risk of burn injuries and property damage.	null	null	About 350,000
CPSC	05228	Consumers should take the toy trucks away from children and return them to the nearest Target store for a gift card in the amount of a full refund ($5.00, plus applicable state taxes).	null	null	The recall includes four-piece &quot;So Hot Way Cool Free Wheel&quot; Truck sets. Various trucks sold in the sets include a combination of fire trucks, oil trucks, vegetable trucks, sanitation trucks, tow trucks and box trucks. Writing on the trucks includes, &quot;EMERGENCY&quot; or &quot;CITY SERVICE.&quot; The words &quot;So Hot Way Cool Free Wheel Truck&quot; and the item number 204 02 0838 are written on the packaging.	null	null	China	None.	Small parts could break off the truck, posing a choking hazard to young children.	Target Corp., of Minneapolis, Minn.	null	About 17,400
CPSC	05226	Contact Sycamore Kids to find an authorized repair center to receive a free replacement handlebar ratchet.	null	null	The recalled strollers have a metal frame and a cloth seat with a sun canopy. The strollers were sold in a variety of solid colors, including navy, red, black, silver and orange. A metal plate above the footrest shows the Mountain Buggy logo with “Mountain Buggy” written underneath. “URBAN” also is written on the metal plates. The recalled Mountain Buggy Urban Single strollers have item number U1204-002, and serial numbers between 000000 and 0003342. The recalled Mountain Buggy Urban Double strollers have item number U2204-002, and serial numbers between 000000 and 006957. The serial number and model number are on the back of the metal plate.	null	null	New Zealand	Sycamore has received 10 reports of handlebar either cracking or breaking when the stroller was pulled up or taken down stairs. No injuries were reported.	The handlebar can crack or break causing the handlebar to possibly detach while in use, posing a risk of injury to young children.	null	null	About 2,200
CPSC	05225	Consumers should secure the blow dart gun and darts and return them to any Value City store for a full cash refund.	null	null	The blow dart gun is a 51-inch long decorative wooden tube with an attached pouch containing five darts. The brown, bamboo-shaped gun has a black, small barrel-like container attached to the top.	null	null	Indonesia	None.	Consumers may have mistakenly purchased the dart guns thinking it was a decorative walking stick, posing the risk of injury if someone used the gun for its intended purpose.	null	null	About 300
