organization	recall_number	recall_date	recall_url	description	summary
USDA	3d13ad94d4	2014-04-15	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-015-2014-release-expansion	Nutriom LLC, a Lacey, Wash. establishment, is recalling an additional 82,884 pounds of processed egg products that may be contaminated with Salmonella	Washington Firm Recalls Dried Egg Products Due To Possible Salmonella Contamination
USDA	dd989f9e2e	2014-04-04	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-021-2014-release	Tyson Foods Inc., a Sedalia, Mo. establishment, is recalling approximately 75,320 pounds of frozen, fully cooked chicken nugget products that may be contaminated with extraneous materials.	Missouri Firm Recalls Chicken Nugget Products Due To Possible Foreign Matter Contamination
USDA	07da50ec65	2014-04-03	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-020-2014-release	American Outdoor Products, a Boulder, Colo., establishment, is recalling approximately 633 pounds of dehydrated Fettuccini Alfredo with Chicken due to misbranding and undeclared allergens (milk and wheat).	Colorado Firm Recalls Fettuccini Alfredo With Chicken Products Due To Misbranding and Undeclared Allergens
USDA	634afbcac1	2014-04-02	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-019-2014-release	AdvancePierre Foods, an Enid, Okla. establishment, is recalling approximately 8,730 pounds of frozen chicken breast products due to misbranding and undeclared allergens (milk and soy).	Oklahoma Firm Recalls Chicken Products Due To Misbranding and Undeclared Allergens
USDA	b8720c87b1	2014-03-07	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-018-2014-release	George’s Inc., a Springdale, Ark. establishment, is recalling approximately 29,200 pounds of seasoned raw, chicken breast strips due to misbranding and an undeclared allergen, soy.	Arkansas Firm Recalls Chicken Products Due To Misbranding and Undeclared Allergen
USDA	70c2e7c267	2014-02-27	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-017-2014-release	Sun Hing Foods, Inc., the Importer of Record, a South San Francisco, Calif., establishment, is recalling approximately 1,282 pounds of Canadian liver pâté products which were produced without the benefit of full USDA inspection	California Firm Recalls Canadian Liver Pâté Products Produced Without Import Inspection
USDA	cc578a4dce	2014-02-23	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-016-2014-release	Santa Maria Foods Corporation, a Rexdale, Ontario, Canada establishment, is recalling approximately 8,895 pounds of various meat products, because they were imported without the benefit of full USDA inspection. Without full inspection, a remote possibility of adverse health consequences exists.	Canadian Firm Recalls Various Meat Products Without Import Inspection
USDA	2461d2a54d	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-025-2013-expanded	Rich Products Corporation, a Buffalo, N.Y. firm, is expanding its recall of various heat treated, not fully cooked frozen mini meals and snack items because they may be contaminated with E. coli O121.	New York Firm Recalls Additional Frozen Mini Meals And Other Snack Products Due To Possible E. Coli O121 Contamination
USDA	1a4bd28e24	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-025-2013-release	Rich Products Corporation, a Buffalo, NY firm, is recalling approximately 196,222 pounds of frozen chicken quesadilla and various other heat treated, not fully cooked frozen mini meals and snack items because they may be contaminated with E. coli O121.	New York Firm Recalls Frozen Mini Quesadilla, Pizza, Cheese Steak and Other Snack Products Due To Possible E. Coli O121 Contamination
USDA	190c3daba5	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-024-2013-release	Triple J Family Farms, a Buffalo Lake, Minn. establishment, is recalling approximately 15,270 pounds of bone-in ribeye products because the vertebral column may not have been completely removed, which is not compliant with regulations that require the removal of vertebral column in cattle 30 months of age or older.	Minnesota Firm Recalls Bone-In Ribeye That May Contain Specified Risk Materials
